MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093J073636,54.31011,-122.97286,TrJTk,basaltic volcanic rocks,380.0,2.400000095,207.5,0.08,1.03,9.1,57.0,42.35,3.3,155.0,168.0,2.2,68.0,9.55,0.7,2.2,1.6,37.5,-0.02,0.7,0.12,0.9,32.0,-0.1,185.4,8.0,14700.00029,5800.0,10600.0,500.0,2800.0000000000005,230.0,1770.0,3600.0,70.0
ID093J073637,54.30913,-122.95962,TrJTk,basaltic volcanic rocks,540.0,3.700000048,129.5,0.14,0.99,10.3,73.0,45.9,4.8,230.0,272.0,2.23,75.8,10.16,0.6,4.0,1.3,37.0,0.04,1.2,0.18,0.9,58.0,-0.1,203.1,11.0,19700.00029,6400.0,25500.0,800.0,4600.0,300.0,2090.0,3600.0,110.0
ID093J073639,54.32905,-122.91361,TrJTk,basaltic volcanic rocks,160.0,3.799999952,48.5,0.04,0.87,4.5,70.5,32.49,1.7,155.0,149.0,2.76,43.8,5.52,0.92,3.4,5.7,56.0,-0.02,1.0,0.08,2.8,22.0,-0.1,51.1,7.5,6800.00007,23400.0,7500.0,300.0,2400.0,310.0,390.0,7000.0,120.0
ID093J073640,54.345,-122.89718,KTpg,paragneiss metamorphic rocks,260.0,42.70000076,15.5,0.06,0.82,6.9,56.0,37.24,2.2,130.0,67.0,9.8,56.7,6.64,0.94,10.9,2.7,60.0,0.04,3.4,0.1,17.3,46.0,-0.1,93.0,12.0,7699.99981,22100.0,40700.0,300.0,2500.0,250.0,620.0,32599.999999999996,170.0
ID093J073642,54.34602,-122.82783,TrJTk,basaltic volcanic rocks,340.0,1.700000048,155.5,0.04,1.03,5.0,42.0,39.3,1.9,160.0,64.0,1.65,49.8,5.85,0.7,1.1,1.2,27.5,0.02,0.2,0.08,0.9,20.0,-0.1,66.1,11.5,9700.00029,5600.000000000001,4900.0,300.0,1500.0,270.0,1050.0,2200.0,40.0
ID093J073643,54.35546,-122.74902,TrJTk,basaltic volcanic rocks,220.0,3.200000048,191.5,0.04,1.28,6.3,72.5,23.22,2.5,300.0,209.0,1.4,42.8,6.97,0.5,3.0,1.4,41.5,-0.02,0.8,0.08,1.1,20.0,-0.1,89.2,13.0,13999.999759999999,10200.0,9300.0,300.0,2200.0,290.0,1390.0000000000002,2400.0,70.0
ID093J073644,54.35546,-122.74902,TrJTk,basaltic volcanic rocks,200.0,3.099999905,192.0,0.04,1.24,6.5,78.5,23.9,2.5,295.0,210.0,1.51,43.5,6.53,0.48,2.2,1.4,42.0,-0.02,0.6,0.08,1.1,20.0,-0.1,88.5,13.5,14299.99948,10200.0,9100.0,300.0,2200.0,290.0,1390.0000000000002,2400.0,70.0
ID093J073645,54.36099,-122.76646,TrJTk,basaltic volcanic rocks,60.0,3.299999952,97.5,0.02,0.48,2.9,61.0,16.51,0.8,95.0,78.0,3.23,33.8,4.97,0.68,1.2,1.7,29.0,-0.02,0.2,0.06,2.5,16.0,-0.1,53.0,6.0,5799.99983,8700.0,4900.0,200.0,900.0,210.0,670.0,5600.000000000001,40.0
ID093J073646,54.37427,-122.7696,TrJTk,basaltic volcanic rocks,140.0,3.299999952,130.0,0.02,0.88,4.5,39.0,20.71,1.1,165.0,69.0,1.7,38.3,5.25,0.4,1.1,1.9,33.5,-0.02,0.2,0.08,1.2,12.0,-0.1,67.1,7.0,8899.99986,9400.0,3900.0,200.0,1400.0000000000002,230.0,1370.0,3600.0,30.0
ID093J073648,54.38381,-122.76965,TrJTk,basaltic volcanic rocks,200.0,1.399999976,117.5,0.06,0.77,3.2,99.5,15.6,3.7,120.0,111.0,1.05,29.5,7.92,0.24,1.5,0.3,16.0,0.02,0.3,0.08,0.4,28.0,-0.1,60.8,6.5,10199.99981,3100.0,8200.0,400.0,3000.0,300.0,840.0,1000.0,150.0
ID093J073649,54.39878,-122.76578,TrJTk,basaltic volcanic rocks,320.0,6.400000095,394.5,0.1,1.41,14.8,113.0,33.64,4.8,295.0,384.0,1.5,81.8,8.7,0.48,8.2,1.8,51.5,0.02,1.4,0.18,1.6,52.0,-0.1,136.0,14.5,21199.99886,12300.0,25000.0,900.0,6300.0,330.0,1590.0,1800.0,280.0
