MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093G071002,53.61138,-122.9778,LTQCh,basaltic volcanic rocks,320.0,8.300000191,233.5,0.1,0.45,7.5,32.5,48.56,4.1,135.0,387.0,3.06,37.8,5.77,0.72,4.4,1.1,64.0,0.12,2.9,0.3,7.4,78.0,-0.1,81.7,15.5,14800.00019,9500.0,20600.0,700.0000000000001,3200.0,260.0,1110.0,3000.0,400.0
ID093G071003,53.62691,-122.96569,LTQCh,basaltic volcanic rocks,220.0,1.799999952,171.0,0.06,0.39,2.5,20.0,27.4,2.8,170.0,54.0,0.56,27.7,4.51,0.5,1.7,0.5,114.0,0.1,1.3,0.12,5.5,24.0,-0.1,21.5,15.5,10499.999520000001,15200.0,7600.0,200.0,2300.0,220.0,880.0,1800.0,140.0
ID093G071004,53.65023,-122.98068,LTQCh,basaltic volcanic rocks,360.0,6.699999809,162.0,0.08,0.68,5.5,50.0,43.5,3.0,205.0,150.0,2.01,66.8,5.51,1.06,2.7,1.2,50.5,0.06,0.9,0.12,1.5,36.0,-0.1,111.6,11.0,12200.00029,9900.0,10500.0,500.0,3600.0,250.0,9800.0,2800.0000000000005,280.0
ID093G071005,53.66609,-123.0201,LTQCh,basaltic volcanic rocks,500.0,7.300000191,244.0,0.12,0.53,8.8,78.5,56.89,6.5,295.0,254.0,1.7,93.7,7.99,1.3,4.6,1.2,47.5,0.06,0.7,0.14,1.8,60.0,-0.1,86.8,24.0,16000.000240000001,7200.0,19800.0,800.0,5400.0,260.0,1380.0000000000002,2200.0,290.0
ID093G071006,53.63407,-122.99388,LTQCh,basaltic volcanic rocks,340.0,4.5,205.5,0.1,0.6,12.6,92.0,53.25,5.3,410.0,343.0,1.34,116.7,9.17,0.99,7.7,1.0,57.0,0.08,1.7,0.22,2.9,58.0,-0.1,99.4,15.0,17599.9999,9200.0,22900.0,1000.0,8100.000000000001,370.0,840.0,1800.0,650.0
ID093G071007,53.63407,-122.99388,LTQCh,basaltic volcanic rocks,360.0,4.699999809,211.5,0.12,0.63,13.4,88.0,53.51,5.6,415.0,342.0,1.45,120.8,8.39,0.96,8.4,1.1,60.5,0.08,1.8,0.22,3.1,58.0,-0.1,104.9,16.0,17799.99971,9100.0,22400.000000000004,900.0,8200.0,360.0,840.0,2000.0,630.0
ID093G071008,53.6258,-122.99843,LTQCh,basaltic volcanic rocks,320.0,3.299999952,196.0,0.1,0.6,12.5,85.5,51.96,5.0,405.0,322.0,1.43,125.1,6.59,0.84,7.3,1.0,57.5,0.08,1.5,0.14,2.8,52.0,-0.1,93.9,14.5,17300.00019,9400.0,22100.0,700.0000000000001,8700.0,310.0,810.0,2000.0,630.0
ID093G071010,53.62688,-123.04391,LTQCh,basaltic volcanic rocks,260.0,7.900000095,128.0,0.06,0.54,9.9,88.5,49.48,3.1,200.0,175.0,3.44,244.0,4.6,0.68,4.7,1.2,50.0,0.06,0.8,0.12,4.0,36.0,-0.1,76.6,11.0,12799.99971,9100.0,13100.0,500.0,8200.0,280.0,670.0,4200.0,340.0
ID093G071011,53.5922,-123.06542,TrJTk,volcaniclastic rocks,160.0,3.200000048,125.0,0.06,0.36,6.6,45.0,35.25,1.5,130.0,311.0,4.34,178.1,3.59,0.76,1.9,1.8,50.0,0.04,0.6,0.08,0.5,22.0,-0.1,73.6,5.0,5400.00021,10900.0,12800.0,300.0,5600.000000000001,230.0,730.0,6200.0,220.0
ID093G071012,53.58636,-122.99156,TrJTk,volcaniclastic rocks,300.0,7.900000095,179.0,0.1,0.52,9.1,115.5,59.46,3.6,430.0,346.0,3.37,89.3,5.73,1.9,4.2,1.8,75.5,0.08,0.9,0.1,2.4,42.0,-0.1,82.9,10.5,13300.00043,12900.0,17200.0,600.0,5100.0,270.0,850.0000000000001,4400.0,350.00000000000006
ID093G071013,53.58624,-122.95933,TrJTk,volcaniclastic rocks,500.0,7.400000095,254.5,0.1,0.84,7.5,54.5,58.31,4.0,255.0,284.0,2.82,78.4,5.61,1.14,3.7,2.2,89.5,0.1,0.6,0.12,3.0,38.0,-0.1,95.1,13.5,16299.99995,14700.0,14800.0,700.0000000000001,5200.0,260.0,910.0,3800.0,230.0
ID093G071014,53.57492,-122.93329,TrJTk,volcaniclastic rocks,180.0,3.900000095,207.5,0.12,0.71,11.0,51.0,35.07,6.9,80.0,199.0,0.69,45.9,9.26,0.54,6.4,0.5,64.0,0.08,1.7,0.12,0.9,46.0,-0.1,96.9,12.5,16699.99957,9600.0,25000.0,800.0,6500.0,290.0,670.0,1600.0,650.0
ID093G071015,53.54473,-122.95417,TrJTk,volcaniclastic rocks,500.0,15.30000019,193.5,0.12,0.57,7.1,47.0,47.89,3.5,165.0,372.0,2.8,71.3,6.92,1.16,3.5,1.5,56.0,0.06,0.8,0.08,1.8,42.0,-0.1,85.1,12.0,13099.99943,9800.0,21400.0,600.0,4200.0,260.0,950.0,5200.0,290.0
ID093G071016,53.53917,-122.94329,TrJTk,volcaniclastic rocks,260.0,3.299999952,123.0,0.08,0.42,5.8,34.0,31.82,2.3,130.0,290.0,1.53,44.2,4.82,0.86,2.2,1.4,59.5,0.06,0.6,0.04,1.3,24.0,-0.1,66.6,7.0,8600.00014,11700.0,11399.999999999998,400.0,3800.0,250.0,709.9999999999999,4000.0,190.0
ID093G071017,53.53326,-122.93111,TrJTk,volcaniclastic rocks,360.0,6.5,171.0,0.14,0.95,10.6,57.5,48.01,4.8,190.0,236.0,1.24,58.2,10.1,0.74,4.9,1.3,75.0,0.08,1.3,0.12,1.9,42.0,-0.1,114.7,12.5,17100.00038,12600.0,21300.0,1000.0,6300.0,300.0,730.0,3600.0,330.0
ID093G071018,53.5351,-122.86143,TrJTk,volcaniclastic rocks,540.0,4.0,133.5,0.08,1.65,5.8,35.0,57.19,2.5,285.0,226.0,1.76,39.8,4.92,1.0,2.4,1.5,66.0,0.08,0.4,0.1,0.8,28.0,-0.1,87.3,11.0,11499.999759999999,13400.0,10200.0,300.0,2400.0,220.0,750.0,3000.0,170.0
ID093G071019,53.54717,-122.78762,TrJTk,volcaniclastic rocks,240.0,1.299999952,167.0,0.06,0.63,4.4,25.0,29.71,2.1,120.0,123.0,1.1,26.7,4.49,0.46,2.0,1.6,114.0,0.08,0.5,0.08,1.1,20.0,-0.1,45.1,7.5,8000.000120000001,18100.0,8900.0,300.0,3300.0,260.0,670.0,4400.0,200.0
ID093G071020,53.55827,-122.78892,TrJTk,volcaniclastic rocks,440.0,9.0,255.0,0.12,0.98,11.4,45.0,56.67,4.2,185.0,251.0,2.15,50.3,6.1,1.18,5.0,1.4,93.5,0.12,0.8,0.1,1.1,52.0,-0.1,118.7,11.5,15199.99981,13000.0,20000.0,700.0000000000001,4600.0,250.0,790.0,4200.0,380.0
ID093G071022,53.55716,-122.85953,TrJTk,volcaniclastic rocks,260.0,1.299999952,124.0,0.06,0.95,4.6,44.0,30.12,2.6,120.0,203.0,1.1,27.7,4.27,0.66,2.2,1.0,78.5,0.06,0.4,0.08,1.1,30.0,-0.1,41.5,9.0,10299.99971,16100.000000000002,10300.0,200.0,2700.0,210.0,760.0,2600.0,170.0
ID093G071023,53.55684,-122.84874,TrJTk,volcaniclastic rocks,300.0,3.799999952,104.5,0.08,1.66,8.4,41.0,43.95,2.4,115.0,214.0,3.56,37.4,4.72,1.06,1.5,1.1,49.5,0.04,0.2,0.12,0.5,38.0,-0.1,229.8,5.0,8399.999740000001,9200.0,10000.0,300.0,2400.0,230.0,800.0,3200.0,250.0
ID093G071024,53.55684,-122.84874,TrJTk,volcaniclastic rocks,300.0,2.200000048,108.5,0.08,1.71,7.4,41.5,43.14,2.4,120.0,216.0,3.58,37.2,4.6,0.98,1.2,1.2,52.0,0.06,0.2,0.12,0.5,40.0,-0.1,234.0,5.0,8199.99993,9500.0,10300.0,300.0,2300.0,250.0,820.0,3200.0,230.0
ID093G071025,53.55175,-122.84963,TrJTk,volcaniclastic rocks,140.0,3.700000048,118.5,0.06,0.41,7.3,89.0,24.81,3.7,85.0,275.0,0.86,29.7,4.39,0.44,3.5,0.4,49.0,0.04,0.4,0.08,0.5,34.0,-0.1,58.9,6.5,11399.99986,8700.0,13500.0,400.0,3700.0,330.0,630.0,1200.0,600.0
ID093G071026,53.5457,-122.85308,TrJTk,volcaniclastic rocks,140.0,3.700000048,123.5,0.06,0.96,5.1,45.0,28.45,3.1,85.0,121.0,1.56,32.8,5.12,0.62,2.8,0.7,49.0,0.04,0.4,0.08,0.4,22.0,-0.1,110.4,5.0,10000.0,8700.0,9000.0,400.0,3200.0,260.0,540.0,2000.0,460.0
ID093G071027,53.58074,-122.85903,TrJTk,volcaniclastic rocks,180.0,3.799999952,85.0,0.04,0.89,5.6,27.0,26.89,0.9,105.0,269.0,2.2,30.4,2.92,0.6,0.8,1.1,48.5,0.04,0.2,0.06,0.4,10.0,-0.1,190.1,3.5,4399.99998,8500.0,4100.0,100.0,1500.0,220.0,509.99999999999994,2400.0,120.0
ID093G071028,53.57009,-122.89907,TrJTk,volcaniclastic rocks,320.0,5.5,100.5,0.08,1.09,8.6,38.5,55.94,2.5,125.0,169.0,3.86,46.4,5.9,1.4,3.4,2.9,67.5,0.06,0.7,0.1,1.1,40.0,-0.1,118.6,7.5,8700.00005,12800.0,19400.0,300.0,3400.0000000000005,260.0,610.0,8200.0,230.0
ID093G071029,53.58595,-122.90463,TrJTk,volcaniclastic rocks,180.0,2.200000048,37.0,0.04,0.49,3.9,11.0,35.83,0.6,100.0,465.0,3.08,24.9,3.56,0.76,1.2,2.0,80.0,0.06,0.3,0.06,0.4,6.0,-0.1,120.9,3.0,3199.99993,14400.0,20800.0,200.0,1700.0000000000002,410.0,840.0,14000.0,90.0
ID093G071030,53.60789,-122.9286,LTQCh,basaltic volcanic rocks,480.0,3.799999952,198.5,0.06,1.71,4.4,35.0,42.63,2.8,230.0,123.0,1.12,45.5,4.75,0.78,2.7,2.0,87.0,0.08,0.4,0.12,2.3,24.0,-0.1,48.9,11.5,11000.000240000001,13200.0,10200.0,300.0,2800.0000000000005,230.0,750.0,3000.0,160.0
ID093G071031,53.60923,-122.91073,TrJTk,volcaniclastic rocks,600.0,5.099999905,147.0,0.14,0.97,22.3,56.0,62.19,4.6,185.0,844.0,3.71,76.6,7.11,1.1,5.5,2.3,58.5,0.08,0.9,0.16,1.4,66.0,-0.1,180.4,18.5,17799.99971,8500.0,48099.99999999999,700.0000000000001,3700.0,220.0,4060.0000000000005,4600.0,300.0
ID093G071032,53.64836,-122.84286,TrJTk,volcaniclastic rocks,220.0,13.80000019,168.5,0.1,0.57,5.9,78.0,25.77,4.2,120.0,224.0,1.02,37.8,11.49,0.68,2.3,0.5,50.5,0.06,0.3,0.08,1.1,32.0,-0.1,75.0,12.5,14099.999670000001,7300.0,13700.000000000002,600.0,4300.0,260.0,730.0,1200.0,290.0
ID093G071033,53.66951,-122.88553,TrJTk,volcaniclastic rocks,440.0,3.799999952,156.0,0.08,1.21,5.9,40.0,42.62,2.4,230.0,233.0,1.47,52.3,6.85,0.74,2.8,1.5,70.5,0.08,0.4,0.08,1.9,24.0,-0.1,84.5,12.0,11200.00005,12000.0,10400.0,400.0,2900.0,240.0,690.0000000000001,2600.0,200.0
ID093G071034,53.65127,-122.86727,TrJTk,volcaniclastic rocks,420.0,5.300000191,179.0,0.1,0.94,6.9,42.0,37.19,2.8,165.0,286.0,1.51,46.8,5.25,0.52,1.2,1.2,55.0,0.06,0.2,0.08,1.0,32.0,-0.1,131.7,10.0,12999.999520000001,9100.0,11800.0,500.0,2500.0,230.0,1350.0,2800.0000000000005,150.0
ID093G071035,53.63793,-122.86327,TrJTk,volcaniclastic rocks,640.0,10.19999981,338.5,0.18,0.87,15.2,65.5,45.49,5.7,215.0,698.0,1.34,58.7,9.28,0.62,4.2,0.9,53.0,0.08,0.6,0.14,1.1,72.0,-0.1,152.2,19.5,16699.99957,7100.0,31500.0,900.0,4600.0,240.0,1729.9999999999998,1600.0,310.0
ID093G071037,53.63855,-122.87955,LTQCh,basaltic volcanic rocks,520.0,12.89999962,199.0,0.09,0.92,12.5,41.2,36.83,2.8,135.0,468.0,2.4,47.1,5.45,0.54,2.7,1.2,55.6,0.06,0.6,0.11,0.7,32.0,-0.1,236.3,10.2,12400.0001,9600.0,22100.0,400.0,2700.0,240.0,960.0,3000.0,240.0
ID093G071038,53.62797,-122.90558,LTQCh,basaltic volcanic rocks,400.0,7.800000191,200.0,0.18,1.07,9.4,64.5,49.09,4.5,215.0,338.0,1.63,56.2,9.21,0.9,5.0,1.2,61.5,0.08,1.0,0.14,2.4,44.0,-0.1,112.6,14.5,16000.000240000001,9000.0,18900.0,700.0000000000001,5300.0,290.0,790.0,2000.0,460.0
ID093G071039,53.62192,-122.90718,LTQCh,basaltic volcanic rocks,500.0,9.800000191,230.0,0.12,1.19,12.7,66.0,60.68,4.7,255.0,472.0,1.96,74.0,7.0,1.08,6.8,1.8,65.5,0.1,1.3,0.16,2.7,56.0,-0.1,113.7,17.0,16799.999480000002,10000.0,20800.0,700.0000000000001,5900.0,290.0,790.0,2800.0000000000005,480.0
ID093G071878,53.99663,-123.24068,TrJTk,volcaniclastic rocks,120.0,2.5,168.5,0.1,0.46,4.7,46.0,29.43,4.8,85.0,142.0,1.13,24.5,6.13,0.52,2.3,0.5,39.0,0.04,0.3,0.1,0.5,46.0,-0.1,77.5,10.0,14800.00019,5200.0,11399.999999999998,700.0000000000001,3300.0,400.0,850.0000000000001,1000.0,270.0
ID093G071880,53.98958,-123.33568,TrJTk,volcaniclastic rocks,200.0,8.5,274.5,0.16,2.29,13.6,32.5,35.45,4.5,50.0,749.0,5.51,25.9,6.1,0.7,4.2,1.0,54.0,0.04,1.6,0.12,3.3,72.0,-0.1,235.3,12.0,12799.99971,11700.0,30500.0,1000.0,4300.0,450.0,1360.0,2800.0000000000005,330.0
ID093G071896,53.99834,-123.1998,TrJTk,volcaniclastic rocks,420.0,4.0,196.0,0.08,0.96,5.8,32.5,38.1,3.3,140.0,564.0,3.66,33.3,3.67,0.54,0.9,1.3,67.5,0.06,0.3,0.1,0.4,46.0,-0.1,151.4,7.0,12100.00038,10600.0,10200.0,400.0,2100.0,300.0,1310.0,4200.0,100.0
ID093G071897,53.99955,-123.18253,TrJTk,volcaniclastic rocks,200.0,8.100000381,185.0,0.04,0.81,6.3,20.5,23.36,1.2,145.0,752.0,2.45,28.8,2.61,0.44,1.0,1.1,83.0,0.04,0.4,0.08,0.3,18.0,-0.1,229.2,2.5,5199.99981,16200.000000000002,11900.0,300.0,2100.0,310.0,1040.0,3800.0,80.0
ID093G071898,53.99955,-123.18253,TrJTk,volcaniclastic rocks,200.0,7.0,178.5,0.04,0.85,6.7,22.0,24.55,1.3,155.0,735.0,2.33,31.8,2.91,0.46,1.0,1.2,84.5,0.04,0.3,0.08,0.3,20.0,-0.1,233.7,3.0,5400.00021,16200.000000000002,11200.000000000002,300.0,2200.0,330.0,1080.0,4000.0,90.0
ID093G071899,53.98921,-123.18024,TrJTk,volcaniclastic rocks,640.0,8.199999809,315.0,0.1,1.39,8.2,35.0,59.32,3.6,320.0,677.0,4.51,48.9,5.0,0.66,1.6,1.9,92.0,0.08,0.3,0.18,0.9,54.0,-0.1,243.9,11.0,15599.99943,14700.0,17100.0,600.0,2600.0,360.0,1810.0,4800.0,100.0
ID093G071900,53.96314,-123.18495,TrJTk,volcaniclastic rocks,360.0,5.300000191,213.0,0.08,0.5,6.8,45.5,46.74,5.5,130.0,235.0,2.75,47.7,4.83,0.58,2.2,2.4,77.0,0.06,0.3,0.12,2.5,54.0,-0.1,88.7,17.5,20000.0,11500.0,13000.0,700.0000000000001,4100.0,390.0,1240.0,4800.0,180.0
ID093G071902,53.94689,-123.18596,TrJTk,volcaniclastic rocks,380.0,4.699999809,226.5,0.08,0.66,5.6,32.0,40.48,4.3,125.0,427.0,3.91,45.8,4.05,0.58,2.1,1.9,72.5,0.06,0.4,0.1,0.9,50.0,-0.1,151.0,12.5,15700.00052,11200.000000000002,13400.0,600.0,2700.0,390.0,1350.0,5000.0,140.0
ID093G071903,53.9079,-123.30813,MTrCc,mudstone/laminite fine clastic sedimentary rocks,280.0,3.400000095,145.0,0.06,0.41,3.7,36.5,28.71,2.6,80.0,162.0,3.27,48.9,3.64,0.44,0.6,0.9,38.0,0.04,0.1,0.04,0.4,46.0,-0.1,95.8,6.0,10599.99943,4100.0,4400.0,400.0,1600.0,370.0,1230.0,2800.0000000000005,100.0
ID093G071904,53.87917,-123.28843,MTrCc,mudstone/laminite fine clastic sedimentary rocks,220.0,18.0,36.0,0.06,0.4,9.8,57.5,39.63,2.7,155.0,254.0,7.52,78.8,4.09,0.82,3.4,2.6,70.5,0.06,0.7,0.08,4.1,56.0,-0.1,80.8,8.0,8600.00014,16100.000000000002,18200.0,500.0,3800.0,400.0,1000.0,10000.0,250.0
ID093G071905,53.862,-123.25419,TrJTk,volcaniclastic rocks,160.0,5.5,70.0,0.06,0.8,4.9,113.5,38.42,2.8,170.0,81.0,4.76,44.7,7.3,1.48,2.0,3.9,49.5,0.02,0.4,0.06,2.1,46.0,-0.1,58.4,6.0,6999.999879999999,11399.999999999998,7700.0,700.0000000000001,3500.0,370.0,580.0,5400.0,310.0
ID093G071906,53.84812,-123.28448,MTrCc,basaltic volcanic rocks,120.0,11.89999962,60.0,0.04,0.33,4.9,23.0,15.5,1.1,40.0,167.0,4.85,18.3,2.57,0.68,1.2,1.3,49.5,0.04,0.3,0.04,1.4,34.0,-0.1,77.1,3.0,3100.00002,12900.0,7700.0,300.0,2500.0,340.0,810.0,8200.0,140.0
ID093G071907,53.83231,-123.23956,TrJTk,volcaniclastic rocks,140.0,9.399999619,59.0,0.02,0.3,5.7,25.0,24.01,1.2,90.0,191.0,3.83,46.1,2.48,0.88,1.2,1.3,69.5,0.04,0.3,0.04,1.3,26.0,-0.1,90.6,3.5,3899.9998600000004,20700.0,6300.0,300.0,3000.0,370.0,820.0,7000.0,150.0
ID093G071908,53.83147,-123.21567,TrJTk,volcaniclastic rocks,180.0,11.60000038,104.5,0.04,0.4,9.4,21.5,24.4,1.6,70.0,265.0,3.09,39.5,2.77,0.58,1.8,1.2,64.5,0.04,0.5,0.06,0.9,26.0,-0.1,159.5,3.5,5899.99974,17200.0,40900.0,400.0,2700.0,360.0,1120.0,6000.0,120.0
ID093G071909,53.78512,-123.09987,TrJTk,volcaniclastic rocks,220.0,3.599999905,167.0,0.08,0.85,10.0,38.0,36.09,4.0,55.0,244.0,3.48,37.9,5.9,0.46,1.4,1.0,56.5,0.04,0.2,0.08,0.4,54.0,-0.1,202.2,7.5,13300.00043,8300.0,13000.0,1100.0,4400.0,440.0,1070.0,3000.0,210.0
ID093G071910,53.76928,-123.07134,TrJTk,volcaniclastic rocks,200.0,5.0,212.0,0.1,1.05,12.5,49.0,34.32,6.3,50.0,311.0,3.9,40.0,7.53,0.46,5.4,0.9,57.0,0.06,1.0,0.12,1.0,72.0,-0.1,150.0,11.5,19199.99957,10500.0,26100.0,1400.0000000000002,6400.0,520.0,1010.0000000000001,2400.0,740.0
ID093G071911,53.73391,-123.07373,TrJTk,volcaniclastic rocks,220.0,6.699999809,224.5,0.16,0.48,15.9,53.5,53.55,9.1,60.0,371.0,2.23,49.1,9.19,0.52,9.9,1.0,59.0,0.08,2.0,0.16,1.4,98.0,-0.1,122.8,14.0,28099.999429999996,9100.0,33500.0,2300.0,9800.0,690.0000000000001,940.0,2200.0,910.0
ID093G071912,53.73192,-123.06371,TrJTk,volcaniclastic rocks,260.0,8.0,254.0,0.18,0.8,19.5,59.5,62.34,9.6,70.0,377.0,4.54,56.8,9.49,0.78,10.7,1.1,64.0,0.1,2.3,0.18,2.4,122.0,-0.1,150.4,14.0,30399.99962,10300.0,40100.0,2400.0,11100.000000000002,700.0000000000001,9800.0,3200.0,890.0
ID093G071914,53.74165,-123.04338,TrJTk,volcaniclastic rocks,160.0,3.299999952,147.0,0.08,0.28,10.3,58.0,31.15,5.3,65.0,236.0,1.4,41.5,5.83,0.46,5.8,1.0,60.5,0.06,1.4,0.1,1.5,64.0,-0.1,70.3,10.5,15099.9999,9700.0,17800.0,1100.0,5699.999999999999,740.0,780.0,2000.0,9900.0
ID093G071915,53.56213,-123.04653,TrJTk,volcaniclastic rocks,280.0,5.099999905,70.0,0.08,0.81,11.9,62.0,52.82,3.7,165.0,256.0,7.5,132.2,5.49,0.76,4.0,1.9,65.5,0.06,0.9,0.14,0.6,52.0,-0.1,111.7,6.0,11599.999670000001,13400.0,18900.0,900.0,9100.0,390.0,850.0000000000001,7000.0,270.0
ID093G071916,53.5429,-123.14715,MTrCc,basaltic volcanic rocks,100.0,6.0,28.5,0.04,0.63,7.0,13.5,24.45,1.2,45.0,338.0,12.62,24.0,2.35,0.4,1.0,2.0,80.0,0.04,0.7,0.04,5.2,28.0,-0.1,89.1,2.0,3499.9999399999997,19300.0,15600.0,300.0,3000.0,360.0,9800.0,13000.0,130.0
ID093G071917,53.50915,-123.47601,PJog,lower amphibolite/kyanite grade metamorphic rocks,260.0,7.800000191,241.0,0.14,0.38,20.3,68.5,55.61,8.5,50.0,446.0,2.61,58.4,8.2,0.6,8.8,1.0,465.5,0.08,1.4,0.14,0.6,118.0,-0.1,130.6,12.5,29500.000480000002,7700.0,39100.0,2100.0,9700.0,690.0000000000001,1120.0,2000.0,780.0
ID093G071918,53.50915,-123.47601,PJog,lower amphibolite/kyanite grade metamorphic rocks,260.0,7.599999905,240.5,0.14,0.37,20.1,65.0,56.27,8.8,50.0,445.0,2.47,59.1,8.23,0.6,8.9,1.0,49.5,0.08,1.3,0.14,0.6,118.0,-0.1,132.4,13.0,28299.99924,7400.0,38700.0,2400.0,9500.0,700.0000000000001,1130.0,2200.0,750.0
ID093G071919,53.50628,-123.14948,MTrCc,basaltic volcanic rocks,80.0,3.5,40.5,-0.02,0.32,3.6,10.5,15.71,0.6,45.0,861.0,4.22,17.5,1.54,0.24,0.7,0.7,102.0,0.04,0.3,0.04,2.0,12.0,-0.1,99.2,1.0,1899.99998,19800.0,6400.0,200.0,3200.0,370.0,1019.9999999999999,12200.0,70.0
ID093G071920,53.50315,-123.15428,MTrCc,basaltic volcanic rocks,60.0,2.0,31.0,-0.02,0.14,0.9,3.5,7.63,0.3,35.0,1000.0,6.48,4.0,1.24,0.16,0.3,0.7,150.0,0.04,0.1,0.02,1.3,6.0,-0.1,42.8,-0.5,700.0000000000001,28700.0,1300.0,200.0,4600.0,470.0,1580.0,14400.0,20.0
ID093G071922,53.50805,-123.16368,MTrCc,basaltic volcanic rocks,180.0,6.099999905,196.0,0.1,0.35,13.3,42.0,34.58,6.7,55.0,556.0,1.29,34.9,7.68,0.32,6.7,0.9,65.5,0.08,1.6,0.12,1.2,68.0,-0.1,114.1,13.0,18999.99976,9300.0,29100.0,1500.0,7400.0,800.0,1090.0,2200.0,780.0
ID093G071923,53.46206,-123.27821,PJog,lower amphibolite/kyanite grade metamorphic rocks,240.0,5.800000191,215.0,0.14,0.35,16.1,48.5,56.1,7.6,55.0,354.0,2.75,59.0,7.8,0.58,5.4,1.2,44.5,0.06,0.8,0.12,0.7,86.0,-0.1,113.0,12.5,25000.0,6700.0,25200.0,1900.0,7500.0,500.0,890.0,2200.0,400.0
ID093G071924,53.47831,-123.29468,PJog,lower amphibolite/kyanite grade metamorphic rocks,300.0,10.0,254.0,0.18,0.43,17.8,49.5,58.79,9.6,75.0,533.0,3.56,57.6,9.62,0.56,10.3,1.2,55.0,0.08,1.7,0.14,0.7,94.0,-0.1,163.5,13.5,30899.99914,9000.0,40500.0,2400.0,10600.0,640.0,1019.9999999999999,2600.0,520.0
ID093G071925,53.47574,-123.31764,PJog,lower amphibolite/kyanite grade metamorphic rocks,440.0,10.89999962,212.5,0.12,1.19,10.2,40.0,63.78,6.9,105.0,438.0,11.16,57.9,7.12,0.74,5.1,2.0,66.0,0.08,0.7,0.16,1.4,46.0,-0.1,255.4,8.5,20299.99971,13600.000000000002,20600.0,1200.0,5000.0,440.0,1150.0,4400.0,120.0
ID093G071926,53.47574,-123.31764,PJog,lower amphibolite/kyanite grade metamorphic rocks,400.0,9.5,197.5,0.1,1.25,8.6,36.5,60.5,5.0,110.0,408.0,12.61,54.3,4.64,0.76,3.1,2.1,68.0,0.06,0.5,0.14,1.1,48.0,-0.1,258.0,6.0,19700.00029,13899.999999999998,19800.0,1100.0,4800.0,410.0,1210.0,4400.0,140.0
ID093G071927,53.47765,-123.33232,PJog,lower amphibolite/kyanite grade metamorphic rocks,200.0,6.199999809,230.0,0.16,0.71,13.7,46.5,42.17,8.6,65.0,367.0,2.64,46.0,9.92,0.48,8.1,1.1,72.0,0.08,1.2,0.12,1.5,76.0,-0.1,164.0,10.0,27599.9999,12700.0,31500.0,1700.0000000000002,9600.0,520.0,950.0,2400.0,260.0
ID093G071928,53.46448,-123.38626,PJog,lower amphibolite/kyanite grade metamorphic rocks,40.0,13.10000038,21.0,-0.02,0.33,1.3,45.0,15.88,0.2,20.0,59.0,10.67,9.8,1.22,1.12,0.6,3.8,64.0,0.02,0.1,0.04,3.4,22.0,-0.1,21.8,-0.5,599.99999,45100.0,3100.0,100.0,800.0,250.0,500.0,5000.0,20.0
ID093G071929,53.47849,-123.4114,PJog,lower amphibolite/kyanite grade metamorphic rocks,180.0,24.0,160.0,0.08,0.34,9.0,43.0,44.89,3.4,95.0,682.0,6.65,62.1,7.49,0.96,3.4,1.3,142.5,0.06,0.6,0.08,2.1,88.0,-0.1,58.3,7.5,9200.00017,67700.0,19600.0,1000.0,5500.0,500.0,1790.0,4200.0,440.0
ID093G071930,53.509,-123.42298,PJog,lower amphibolite/kyanite grade metamorphic rocks,180.0,5.599999905,154.5,0.08,0.33,10.7,36.0,30.19,4.5,50.0,514.0,1.74,37.1,5.68,0.46,3.3,0.8,50.0,0.06,0.5,0.1,0.4,52.0,-0.1,105.0,7.0,14299.99948,9000.0,20900.0,1400.0000000000002,5300.0,460.0,1270.0,2800.0000000000005,330.0
ID093G071931,53.50974,-123.45515,PJog,lower amphibolite/kyanite grade metamorphic rocks,140.0,15.80000019,166.0,0.08,0.21,15.8,62.0,30.88,6.1,55.0,658.0,2.37,42.6,12.34,0.34,7.4,1.6,55.5,0.06,1.6,0.08,1.5,84.0,-0.1,85.1,11.0,16799.999480000002,11700.0,45500.0,1000.0,7700.0,760.0,2230.0,4600.0,1040.0
ID093G071932,53.45812,-123.22029,MTrCc,"chert, siliceous argillite, siliciclastic rocks",140.0,16.5,170.5,0.08,0.38,16.2,33.0,24.92,4.3,35.0,3417.0,14.61,32.8,5.63,0.34,4.0,0.7,91.5,0.06,0.9,0.08,0.7,56.0,-0.1,117.3,8.0,11399.99986,29700.000000000004,30800.0,1000.0,5800.0,640.0,1320.0,3000.0,509.99999999999994
