Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM,Actual_Strat,Pred_Strat,Is_Equal,LAT,LONG,rock_type
640.0,5.900000095,223.0,0.08,1.25,6.9,48.5,50.58,4.7,320.0,293.0,1.62,39.0,6.23,0.5,3.9,1.1,38.0,0.04,0.3,0.22,8.5,50.0,-0.1,115.6,16.5,18700.000050000002,5600.000000000001,13700.000000000002,600.0,3800.0,260.0,1030.0,2200.0,360.0,KTpg,KTpg,True,54.78114,-123.6886,paragneiss metamorphic rocks
2140.0,2.900000095,82.5,0.1,1.03,2.9,43.5,39.35,4.2,450.0,76.0,0.85,19.9,12.57,0.5,1.0,2.2,33.5,0.02,0.5,0.08,1.9,38.0,-0.1,58.7,19.5,28099.999429999996,3500.0,6300.0,600.0,1300.0,400.0,2610.0,4400.0,50.0,KTpg,KTpg,True,54.89738,-123.54714,paragneiss metamorphic rocks
840.0,4.800000191,23.5,0.04,0.71,6.0,41.5,62.46,2.1,235.0,226.0,2.85,14.7,8.44,0.52,2.1,3.4,53.5,0.04,0.1,0.08,1.4,58.0,-0.1,51.0,8.0,13999.999759999999,11100.000000000002,11100.000000000002,300.0,2100.0,290.0,1180.0,4400.0,90.0,TrJTk,TrJTk,True,55.06552,-123.96022,calc-alkaline volcanic rocks
780.0,5.599999905,59.5,0.08,1.19,9.2,53.0,80.24,2.9,225.0,219.0,1.52,38.0,5.44,0.8,9.1,5.5,58.5,0.08,0.5,0.1,0.8,34.0,-0.1,79.2,11.0,11000.000240000001,29700.000000000004,15700.0,-100.0,4400.0,300.0,840.0,5400.0,150.0,TrJTk,TrJTk,True,54.86285,-122.9752,"mudstone, siltstone, shale fine clastic sedimentary rocks"
240.0,3.299999952,196.5,-0.02,0.53,3.7,34.0,26.93,1.6,70.0,112.0,2.57,23.9,4.53,0.56,1.4,2.1,30.0,-0.02,0.7,0.06,2.3,12.0,-0.1,74.6,6.0,5600.00002,10100.0,7200.0,200.0,1800.0,280.0,1000.0,4200.0,110.0,KTpg,CPSm,False,54.66696,-122.73876,paragneiss metamorphic rocks
420.0,10.30000019,15.5,0.08,1.38,19.6,57.0,119.2,3.6,175.0,352.0,3.16,32.5,4.67,0.66,5.8,2.6,44.5,0.08,0.7,0.1,1.2,68.0,-0.1,131.5,4.5,13300.00043,14500.0,28200.0,800.0,6300.0,290.0,750.0,19000.0,450.0,TrJTk,TrJTk,True,55.13066,-123.88978,calc-alkaline volcanic rocks
980.0,3.299999952,153.5,0.06,0.77,10.0,79.5,49.86,3.1,255.0,390.0,1.02,24.4,5.742047493403704,0.3,4.7,4.8,23.5,0.02,0.3,0.04,0.6,76.0,-0.1,74.2,11.5,32999.99952,5699.999999999999,11399.999999999998,400.0,1200.0,270.0,3000.0,3800.0,150.0,TrJTk,TrJTk,True,53.55339,-121.99149,basaltic volcaniclastic rocks
220.0,4.0,37.0,-0.02,0.58,0.6,23.0,30.46,0.2,60.0,14.0,2.99,8.1,4.83,0.64,0.9,2.1,18.0,-0.02,-0.1,0.02,0.7,16.0,-0.1,26.0,3.0,1899.99998,7200.0,1200.0,-100.0,500.0,300.0,190.0,5200.0,40.0,TrJTk,TrJTk,True,54.90097,-123.88221,calc-alkaline volcanic rocks
180.0,4.199999809,213.5,0.12,0.67,8.5,39.5,31.59,4.5,45.0,295.0,5.25,21.7,9.49,0.68,2.4,0.5,53.0,0.06,0.9,0.08,0.6,60.0,-0.1,138.4,11.0,13799.99995,6700.0,19100.0,1400.0000000000002,4200.0,440.0,1540.0,1400.0000000000002,160.0,MTrCc,MTrCc,True,53.99015,-123.79531,"mudstone, siltstone, shale fine clastic sedimentary rocks"
340.0,11.80000019,322.0,0.14,0.47,13.6,46.0,87.43,6.3,100.0,437.0,1.79,59.6,8.84,0.44,11.4,1.1,39.0,0.06,1.1,0.14,0.7,70.0,-0.1,129.5,12.0,18799.999949999998,7100.0,32100.0,1400.0000000000002,7600.0,310.0,1130.0,3200.0,280.0,MTrCc,TrJTk,False,54.27661,-123.87931,"limestone, marble, calcareous sedimentary rocks"
440.0,6.400000095,31.0,0.06,1.08,7.3,25.0,55.57,2.0,165.0,190.0,4.66,26.1,4.56,1.3,5.0,7.6,51.5,0.04,0.4,0.06,2.0,22.0,-0.1,64.7,6.0,7500.0,16000.0,11500.0,300.0,3100.0,340.0,790.0,11399.999999999998,130.0,TrJTk,TrJTk,True,54.90152,-123.18565,"mudstone, siltstone, shale fine clastic sedimentary rocks"
120.0,1.100000024,109.0,0.02,0.52,1.4,12.5,22.95,0.6,55.0,53.0,1.31,17.6,0.69,0.24,0.8,0.8,45.5,-0.02,0.1,-0.02,0.2,8.0,-0.1,77.1,1.5,2099.99993,6899.999999999999,1200.0,100.0,700.0000000000001,240.0,390.0,2600.0,60.0,CPSm,TrJTk,False,53.80113,-121.98305,basaltic volcanic rocks
640.0,7.900000095,448.0,0.16,0.87,15.5,108.5,63.6,8.1,300.0,435.0,1.53,127.0,12.23,0.78,15.7,1.4,45.0,0.04,1.5,0.22,1.1,90.0,-0.1,146.9,16.5,32400.0001,8800.0,40599.99999999999,1300.0,8300.0,290.0,2030.0000000000002,2000.0,240.0,TrJTk,TrJTk,True,54.46616,-123.10951,basaltic volcanic rocks
440.0,13.89999962,26.0,0.12,1.37,7.3,36.0,61.11,1.5,225.0,876.0,5.68,28.2,5.83,1.02,2.4,3.5,38.5,0.04,0.4,0.08,1.1,34.0,0.1,79.3,7.0,10199.99981,12600.0,19200.0,300.0,2600.0,660.0,760.0,13799.999999999998,110.0,TrJTk,TrJTk,True,55.0558,-124.59394,volcaniclastic rocks
500.0,6.300000191,241.5,0.06,1.22,7.0,65.5,53.21,2.6,315.0,191.0,2.04,99.7,8.56,0.67,3.7,1.1,66.0,0.04,0.4,0.12,1.2,34.0,-0.1,108.6,10.5,14400.00057,12300.0,14100.0,500.0,5300.0,450.0,859.9999999999999,3800.0,160.0,LTQCh,LTQCh,True,54.64362,-123.96693,basaltic volcanic rocks
10.0,36.59999847,30.0,0.04,0.17,1.4,72.0,16.87,0.4,30.0,60.0,40.78,23.4,4.95,1.1,1.6,6.7,51.0,-0.02,1.1,0.06,29.6,102.0,0.1,24.4,1.5,1099.99999,21900.0,4900.0,300.0,2000.0,630.0,810.0,11600.0,60.0,MTrCc,MTrCc,True,53.82902,-123.81123,basaltic volcanic rocks
600.0,6.0,263.5,0.1,1.3,14.1,118.0,68.66,6.4,360.0,248.0,1.7,134.5,5.39,0.82,9.3,2.0,55.5,0.04,0.8,0.2,1.5,72.0,-0.1,143.9,12.0,26300.00114,9200.0,25800.0,900.0,9800.0,400.0,1260.0,4400.0,280.0,TrJTk,TrJTk,True,54.5344,-123.08419,basaltic volcanic rocks
560.0,7.599999905,84.5,0.1,1.51,9.9,91.0,59.15,5.0,245.0,268.0,1.95,105.2,4.47,0.82,5.4,2.4,55.0,0.08,0.3,0.16,2.0,50.0,-0.1,130.5,12.0,20699.999330000002,8300.0,23400.0,900.0,5400.0,370.0,1770.0,4000.0,280.0,TrJTk,KTpg,False,54.58119,-123.55805,basaltic volcanic rocks
460.0,5.699999809,14.0,0.08,0.63,9.1,59.5,46.59,4.4,130.0,535.0,2.92,87.6,12.12,0.52,6.2,1.6,35.5,0.04,1.3,0.14,1.1,60.0,-0.1,122.5,10.5,17300.00019,7500.0,29000.0,900.0,4900.0,340.0,1290.0,10000.0,220.0,LTQCh,TrJTk,False,54.55567,-123.81962,basaltic volcanic rocks
180.0,28.79999924,33.0,-0.02,0.81,1.1,165.0,72.41,0.8,55.0,180.0,11.55,8.5,3.83,2.04,0.9,20.7,37.0,0.02,0.1,0.04,4.6,48.0,0.1,44.4,2.0,1899.99998,22400.000000000004,4900.0,200.0,1300.0,250.0,520.0,11200.000000000002,110.0,TrJTk,TrJTk,True,55.08429,-123.91236,calc-alkaline volcanic rocks
220.0,8.600000381,17.5,-0.02,0.72,6.3,44.5,39.21,1.8,155.0,114.0,6.06,64.1,2.99,0.46,6.3,4.9,38.0,0.06,0.7,0.12,2.8,24.0,-0.1,74.6,5.0,7500.0,10600.0,18700.0,100.0,3100.0,310.0,630.0,16800.0,250.0,TrJTk,TrJTk,True,54.55135,-123.05267,basaltic volcanic rocks
300.0,3.799999952,257.5,0.08,1.04,11.5,103.0,46.69,3.3,230.0,449.0,1.74,110.1,7.89,0.64,10.6,1.7,45.0,0.04,6.0,0.18,1.1,42.0,0.1,126.9,9.0,12000.000479999999,10500.0,19900.0,600.0,6700.0,320.0,1030.0,2400.0,270.0,TrJTk,TrJTk,True,54.45558,-123.21389,basaltic volcanic rocks
600.0,9.300000191,76.5,0.14,1.49,11.8,69.0,69.66,3.6,215.0,292.0,4.25,46.7,8.81,2.38,7.3,19.3,62.5,0.08,0.9,0.12,2.5,42.0,-0.1,106.1,11.0,11000.000240000001,18600.0,20500.0,200.0,4600.0,350.00000000000006,770.0,5200.0,240.0,TrJTk,TrJTk,True,54.94468,-123.14581,"mudstone, siltstone, shale fine clastic sedimentary rocks"
320.0,4.099999905,148.5,0.08,0.76,8.7,78.0,42.74,3.2,210.0,482.0,2.23,95.7,7.75,0.54,8.5,1.5,39.0,0.04,1.9,0.16,1.2,40.0,-0.1,109.9,10.0,13099.99943,8500.0,18100.0,600.0,4700.0,300.0,1090.0,3000.0,180.0,TrJTk,TrJTk,True,54.45092,-123.22648,basaltic volcanic rocks
140.0,29.89999962,110.0,0.08,0.24,9.8,143.5,33.32,4.8,100.0,470.0,8.36,45.3,1.82,0.78,5.9,3.4,61.5,0.02,2.4,0.1,10.7,100.0,-0.1,63.7,12.5,10499.999520000001,7900.0,23600.0,300.0,4000.0,670.0,1120.0,6200.0,620.0,MTrCc,MTrCc,True,53.72953,-123.60047,basaltic volcanic rocks
440.0,7.800000191,76.0,0.1,1.35,11.5,72.0,74.44,3.2,325.0,236.0,4.33,125.7,10.06,1.32,4.2,2.8,64.5,0.04,0.5,0.12,1.7,50.0,-0.1,138.8,8.0,13700.00005,14200.0,23900.0,600.0,6500.0,420.0,780.0,7100.0,160.0,LTQCh,LTQCh,True,54.59756,-123.99899,basaltic volcanic rocks
800.0,7.099999905,133.0,0.1,3.06,3.6,30.5,33.02,1.9,100.0,184.0,2.5,27.2,11.44,0.36,1.8,19.7,122.0,0.04,0.9,0.1,8.6,12.0,-0.1,84.8,8.0,7799.999709999999,27300.0,7800.0,100.0,2900.0,310.0,1080.0,5400.0,130.0,TrJTk,TrJTk,True,54.9824,-123.25303,basaltic volcanic rocks
80.0,5.0,91.0,0.02,0.4,2.0,7.0,5.72,0.4,20.0,61.0,2.8,7.2,5.742047493403704,0.22,0.2,0.4,49.5,-0.02,-0.1,-0.02,0.2,4.0,-0.1,88.9,1.0,1299.9999500000001,8300.0,1900.0,100.0,1100.0,240.0,560.0,2800.0000000000005,30.0,TrJTk,TrJTk,True,54.00502,-123.11451,volcaniclastic rocks
360.0,5.400000095,194.5,0.14,0.99,14.6,58.0,27.67,6.7,175.0,333.0,0.92,45.7,10.35,0.4,2.8,2.8,39.0,0.02,0.8,0.12,1.4,40.0,-0.1,139.2,20.5,24700.00029,6600.0,26200.0,1100.0,4500.0,400.0,1780.0,3000.0,80.0,KTpg,CPSm,False,54.34869,-122.57228,paragneiss metamorphic rocks
480.0,11.10000038,34.0,0.02,0.27,4.8,48.0,60.79,1.3,100.0,186.0,5.52,17.4,4.48,0.4,3.2,2.6,35.5,0.04,0.3,0.04,0.8,18.0,-0.1,41.1,3.5,5000.0,9700.0,10400.0,300.0,3200.0,320.0,550.0,12400.0,280.0,TrJTk,TrJTk,True,55.10894,-123.8987,calc-alkaline volcanic rocks
500.0,4.099999905,287.5,0.1,0.64,8.6,61.0,39.15,5.7,200.0,505.0,0.92,64.9,1.97,0.24,4.6,2.5,43.5,-0.02,0.2,0.08,1.4,54.0,-0.1,99.8,16.0,20199.999809999998,6200.0,19700.0,500.0,4500.0,340.0,2080.0,2800.0000000000005,150.0,TrJTk,TrJTk,True,54.21394,-123.22197,"mudstone, siltstone, shale fine clastic sedimentary rocks"
680.0,6.800000191,22.5,0.1,1.01,11.1,71.5,76.12,5.8,285.0,369.0,4.46,92.6,13.65,1.06,5.9,2.1,55.0,0.06,0.7,0.24,0.9,74.0,-0.1,153.2,9.5,24500.000480000002,12800.0,23300.0,1000.0,5699.999999999999,320.0,1200.0,6400.0,200.0,TrJTk,TrJTk,True,54.61835,-123.7834,basaltic volcanic rocks
780.0,9.399999619,217.5,0.12,1.66,18.4,186.0,88.31,8.9,45.0,851.0,0.29,299.6,4.01,0.04,5.0,2.6,61.5,0.02,0.6,0.36,1.5,96.0,-0.1,260.3,26.0,36199.99886,8700.0,41400.0,600.0,9900.0,330.0,4110.0,2600.0,180.0,TrJTk,TrJTk,True,54.31945,-123.18081,"mudstone, siltstone, shale fine clastic sedimentary rocks"
500.0,8.100000381,46.5,0.08,2.21,4.3,57.0,86.71,2.0,305.0,97.0,6.18,22.3,4.37,1.16,4.0,11.1,45.5,0.02,0.3,0.08,2.9,16.0,0.1,75.0,8.0,6700.00017,14200.0,7600.0,-100.0,2700.0,300.0,520.0,5800.0,170.0,TrJTk,TrJTk,True,54.92688,-123.08035,"mudstone, siltstone, shale fine clastic sedimentary rocks"
100.0,5.300000191,174.5,0.06,0.72,8.5,65.5,19.0,4.5,55.0,444.0,0.96,31.7,2.43,0.22,4.7,1.1,40.5,-0.02,1.3,0.04,0.7,52.0,-0.1,126.9,10.0,10499.999520000001,5600.000000000001,24400.0,500.0,5300.0,550.0,1019.9999999999999,1800.0,480.0,TrJTk,TrJTk,True,54.07496,-123.01533,"mudstone, siltstone, shale fine clastic sedimentary rocks"
140.0,7.099999905,28.0,0.04,0.55,2.6,35.0,22.58,1.1,60.0,147.0,5.49,28.8,3.04,0.6,1.1,1.4,26.5,-0.02,0.6,0.06,0.8,18.0,-0.1,62.8,2.0,3499.9999399999997,10900.0,6500.0,200.0,1300.0,340.0,490.0,9100.0,60.0,TrJTk,TrJTk,True,54.52351,-123.18446,basaltic volcanic rocks
100.0,3.700000048,178.0,0.12,0.36,7.5,41.0,31.09,5.4,40.0,264.0,5.32,19.7,9.49,0.52,6.2,0.6,49.5,0.04,1.5,0.12,1.1,58.0,-0.1,112.9,14.0,14400.00057,7600.0,17200.0,1500.0,4800.0,450.0,1070.0,1000.0,380.0,LTQCh,MTrCc,False,53.97397,-123.74371,basaltic volcanic rocks
180.0,1.299999952,109.0,0.06,0.87,3.3,109.5,22.65,2.0,125.0,115.0,1.29,25.1,6.16,0.4,1.5,0.9,26.0,-0.02,0.2,0.06,1.5,16.0,-0.1,42.3,9.0,7500.0,5000.0,6100.0,400.0,2000.0,280.0,750.0,1600.0,130.0,KTpg,CPSm,False,54.43812,-122.84153,paragneiss metamorphic rocks
380.0,4.099999905,90.0,0.08,1.28,7.8,62.5,40.67,4.2,195.0,306.0,1.54,69.2,6.17,0.68,5.3,1.2,69.0,0.06,0.5,0.14,1.2,32.0,-0.1,113.1,9.0,14700.00029,11299.999999999998,16600.0,700.0000000000001,5300.0,330.0,910.0,3400.0000000000005,310.0,KTpg,CPSm,False,54.57018,-123.52196,paragneiss metamorphic rocks
480.0,11.39999962,28.5,0.04,0.69,11.8,53.0,120.6,1.8,220.0,284.0,3.45,21.2,4.6,0.36,3.8,1.6,52.0,0.08,0.2,0.14,1.0,56.0,-0.1,59.0,6.5,11599.999670000001,10600.0,17900.0,400.0,3400.0000000000005,300.0,1019.9999999999999,12200.0,200.0,TrJTk,TrJTk,True,55.07246,-123.88221,calc-alkaline volcanic rocks
220.0,2.700000048,180.0,0.06,0.38,6.7,61.0,31.09,3.6,75.0,266.0,1.49,43.1,2.07,0.5,2.1,1.1,54.0,0.02,0.3,0.08,1.0,34.0,-0.1,92.4,11.5,12400.0001,8900.0,12000.0,600.0,3200.0,380.0,890.0,2400.0,180.0,TrJTk,TrJTk,True,54.12084,-123.37975,volcaniclastic rocks
1320.0,6.599999905,26.0,0.2,7.49,13.6,70.0,106.2,5.0,285.0,180.0,14.44,86.4,7.95,1.12,4.8,12.1,35.5,0.04,0.6,0.24,5.1,96.0,-0.1,246.5,15.0,17100.00038,10100.0,22500.0,700.0000000000001,4800.0,310.0,960.0,14000.0,130.0,TrJTk,CPSm,False,54.51953,-122.9361,basaltic volcanic rocks
300.0,1.5,107.5,0.06,0.35,5.8,37.5,25.09,2.8,50.0,154.0,1.02,26.5,2.32,0.2,1.2,2.2,25.5,-0.02,0.2,0.04,0.7,32.0,-0.1,48.2,8.5,15599.99943,3600.0,7900.0,500.0,2200.0,340.0,810.0,3000.0,110.0,TrJTk,CPSm,False,53.73227,-122.40107,undivided sedimentary rocks
360.0,8.699999809,38.0,0.08,0.67,7.7,48.0,46.85,2.6,145.0,298.0,3.12,67.0,4.43,0.48,1.9,1.8,89.0,0.08,0.2,0.08,4.0,30.0,-0.1,93.0,12.5,13300.00043,13300.0,18000.0,500.0,4800.0,260.0,1290.0,12600.0,120.0,MTrCc,TrJTk,False,54.24766,-123.71473,"limestone, marble, calcareous sedimentary rocks"
260.0,5.099999905,104.5,-0.02,0.54,6.5,30.5,35.19,0.8,180.0,170.0,3.16,60.6,5.69,0.44,1.3,1.2,49.0,0.08,1.0,0.12,0.4,6.0,-0.1,102.1,3.0,6100.00014,9600.0,4800.0,200.0,1800.0,300.0,540.0,6400.0,70.0,TrJTk,TrJTk,True,54.57569,-123.76457,"mudstone, siltstone, shale fine clastic sedimentary rocks"
220.0,1.899999976,126.0,0.06,0.45,9.3,76.5,85.54,4.5,185.0,189.0,0.59,29.4,5.4,0.28,7.8,0.9,45.0,0.04,0.6,0.12,0.4,52.0,-0.1,100.3,7.0,13099.99943,10600.0,16200.000000000002,600.0,7000.0,310.0,720.0,2600.0,509.99999999999994,TrJTk,TrJTk,True,55.22705,-124.15118,volcaniclastic rocks
520.0,3.799999952,311.0,0.08,0.99,8.9,62.5,39.59,5.9,200.0,500.0,0.74,74.0,1.42,0.22,4.9,3.1,51.5,-0.02,0.3,0.08,1.6,40.0,-0.1,112.7,17.0,21199.99886,8000.0,19700.0,500.0,4600.0,340.0,2050.0,3000.0,140.0,TrJTk,TrJTk,True,54.21776,-123.24758,"mudstone, siltstone, shale fine clastic sedimentary rocks"
353.0,4.099999905,62.0,0.07,0.89,7.9,93.0,49.74,2.2,190.0,218.0,3.08,174.2,5.24,0.74,3.7,2.4,55.0,0.02,0.7,0.08,1.3,32.0,-0.1,116.5,6.5,10099.9999,13600.000000000002,12500.0,400.0,6899.999999999999,250.0,1140.0,4400.0,130.0,TrJTk,TrJTk,True,54.4026,-123.55724,"mudstone, siltstone, shale fine clastic sedimentary rocks"
335.0,1.600000024,312.0,0.06,0.7,4.1,92.5,22.74,4.7,120.0,132.0,0.6,61.2,5.9,0.22,2.1,1.0,38.0,-0.02,-0.1,0.12,0.7,36.0,-0.1,81.0,10.0,20499.999519999998,7100.0,11800.0,500.0,6200.0,270.0,1220.0,2000.0,90.0,TrJTk,TrJTk,True,54.36051,-123.47466,"mudstone, siltstone, shale fine clastic sedimentary rocks"
540.0,5.0,37.0,0.1,2.17,11.2,62.0,62.23,3.0,295.0,141.0,9.59,95.3,2.09,0.5,5.5,12.9,44.0,0.04,3.4,0.24,7.2,34.0,-0.1,96.9,10.0,13099.99943,14700.0,19200.0,600.0,4000.0,300.0,930.0,14400.0,200.0,KTpg,KTpg,True,54.58157,-123.28037,paragneiss metamorphic rocks
340.0,24.0,48.0,0.04,0.81,11.4,31.0,26.94,1.1,115.0,8539.0,7.49,17.4,4.39,0.6,5.4,3.8,56.0,0.06,0.8,0.08,3.1,60.0,-0.1,81.0,8.5,5199.99981,11600.0,141400.0,200.0,1200.0,280.0,6650.0,6600.0,150.0,KTpg,TrJTk,False,54.73064,-123.53801,paragneiss metamorphic rocks
502.0,7.800000191,51.0,0.12,1.67,15.9,118.0,78.08,6.1,280.0,308.0,3.16,168.7,9.52,0.64,8.5,5.2,64.0,0.06,1.6,0.2,2.2,78.0,-0.1,170.8,11.0,17599.9999,14100.0,30099.999999999996,800.0,11500.0,380.0,1110.0,6800.000000000001,270.0,TrJTk,TrJTk,True,54.48186,-123.57796,"mudstone, siltstone, shale fine clastic sedimentary rocks"
500.0,7.300000191,244.0,0.12,0.53,8.8,78.5,56.89,6.5,295.0,254.0,1.7,93.7,7.99,1.3,4.6,1.2,47.5,0.06,0.7,0.14,1.8,60.0,-0.1,86.8,24.0,16000.000240000001,7200.0,19800.0,800.0,5400.0,260.0,1380.0000000000002,2200.0,290.0,LTQCh,CPSm,False,53.66609,-123.0201,basaltic volcanic rocks
140.0,1.299999952,112.0,0.04,0.32,3.9,21.5,22.7,1.6,45.0,251.0,6.23,17.2,4.98,0.38,1.1,0.6,40.5,0.02,0.7,0.02,0.3,36.0,-0.1,92.1,4.5,6200.00005,5900.0,5600.000000000001,500.0,1200.0,480.0,1440.0,1800.0,40.0,MTrCc,MTrCc,True,53.91613,-123.64503,basaltic volcanic rocks
232.0,16.29999924,30.5,0.08,0.74,7.9,84.7,46.63,2.1,190.0,307.0,10.85,83.3,6.71,0.73,1.9,1.6,39.5,0.02,0.4,0.1,2.4,38.0,-0.1,84.5,6.5,8299.99983,7800.0,25200.0,500.0,5100.0,410.0,1040.0,12700.0,190.0,TrJTk,TrJTk,True,54.53463,-123.9084,mudstone/laminite fine clastic sedimentary rocks
80.0,2.599999905,91.5,0.06,0.21,2.8,12.5,10.64,0.7,55.0,286.0,2.04,15.1,4.93,0.32,1.3,0.6,61.5,0.02,1.5,0.04,0.5,16.0,-0.1,52.8,2.0,2599.9999000000003,15600.0,4600.0,200.0,1800.0,550.0,910.0,2600.0,70.0,MTrCc,MTrCc,True,53.83558,-123.3876,basaltic volcanic rocks
360.0,8.5,103.0,0.06,0.8,7.5,60.5,44.83,1.6,290.0,317.0,3.73,71.8,0.38,0.78,4.0,2.1,70.5,0.04,1.6,0.16,0.7,44.0,-0.1,151.2,5.0,8500.00024,18200.0,13700.000000000002,300.0,2700.0,260.0,1000.0,6800.000000000001,120.0,KTpg,TrJTk,False,54.54473,-123.27245,paragneiss metamorphic rocks
1000.0,3.400000095,197.0,0.18,2.12,6.8,49.5,43.48,3.4,215.0,118.0,2.15,42.8,4.82,0.44,2.2,2.3,31.0,0.06,0.1,0.14,3.7,36.0,-0.1,97.4,9.0,16100.00014,7400.0,10700.0,300.0,2900.0,290.0,1400.0000000000002,2200.0,120.0,TrJTk,CPSm,False,54.80541,-123.11141,basaltic volcanic rocks
380.0,4.300000191,113.5,0.06,0.89,7.3,65.5,50.48,2.6,270.0,162.0,3.89,81.0,1.66,0.58,3.7,2.1,53.0,0.04,1.2,0.14,2.2,30.0,-0.1,85.4,10.0,11399.99986,11399.999999999998,11299.999999999998,400.0,3900.0,290.0,1180.0,7600.0,130.0,TrJTk,KTpg,False,54.52203,-123.28401,basaltic volcanic rocks
920.0,9.800000191,193.5,0.2,2.8,13.5,78.5,74.95,6.0,385.0,340.0,3.99,88.0,10.67,1.29,5.2,2.5,68.1,0.11,0.2,0.35,1.2,88.0,-0.1,215.9,13.6,22899.99962,10900.0,29500.0,300.0,7000.0,340.0,1470.0,3500.0,190.0,KTpg,CPSm,False,54.67985,-123.09216,paragneiss metamorphic rocks
520.0,1.899999976,68.0,0.04,0.65,8.7,31.0,52.93,1.9,110.0,76.0,2.06,20.4,7.94,0.56,0.9,1.8,37.5,-0.02,0.3,0.06,0.4,22.0,-0.1,74.3,6.5,9300.00007,6700.0,4400.0,300.0,1300.0,300.0,1310.0,4200.0,70.0,TrJTk,TrJTk,True,55.10595,-123.75485,calc-alkaline volcanic rocks
300.0,4.599999905,8.0,0.04,0.32,4.6,29.0,23.36,1.6,65.0,301.0,8.92,46.8,14.36,0.42,2.8,1.4,48.0,0.04,1.7,0.08,0.5,14.0,-0.1,55.7,2.0,6000.000239999999,13500.0,11299.999999999998,500.0,3900.0,480.0,1160.0,15800.0,100.0,TrJTk,TrJTk,True,54.4618,-124.06361,volcaniclastic rocks
820.0,8.5,383.5,0.2,1.52,16.1,100.5,63.63,5.5,435.0,722.0,2.03,88.2,9.46,0.6,13.1,2.4,60.0,0.08,1.4,0.26,3.1,80.0,-0.1,131.4,16.5,21199.99886,13799.999999999998,31100.0,400.0,7900.0,390.0,9800.0,2400.0,390.0,KTpg,KTpg,True,54.61642,-123.1678,paragneiss metamorphic rocks
484.0,7.400000095,36.5,0.1,1.05,11.5,87.5,58.94,5.1,245.0,557.0,5.05,111.0,8.06,0.6,5.6,2.8,59.0,0.04,0.7,0.16,2.2,74.0,-0.1,133.1,13.5,17599.9999,12200.0,24000.0,700.0000000000001,6600.0,360.0,2130.0,8800.0,270.0,TrJTk,TrJTk,True,54.56443,-123.5464,basaltic volcanic rocks
560.0,4.900000095,15.5,-0.02,1.32,6.0,30.5,57.73,1.7,120.0,215.0,4.46,37.2,4.28,0.58,2.8,42.3,65.5,0.04,0.9,0.12,2.0,16.0,-0.1,101.4,6.5,7500.0,17300.0,22300.0,-100.0,2500.0,300.0,700.0000000000001,27400.000000000004,120.0,TrJTk,TrJTk,True,54.9557,-123.20761,"mudstone, siltstone, shale fine clastic sedimentary rocks"
880.0,9.100000381,185.0,0.12,0.6,12.3,42.5,73.9,3.6,215.0,267.0,2.63,25.5,5.84,0.64,2.7,1.0,58.0,0.04,0.3,0.1,1.1,108.0,-0.1,84.6,19.5,21900.000570000004,10600.0,25500.0,600.0,3600.0,400.0,2360.0,4000.0,190.0,TrJTk,CPSm,False,55.03013,-124.18034,"mudstone, siltstone, shale fine clastic sedimentary rocks"
10.0,13.69999981,242.0,0.08,0.12,6.7,52.5,14.08,1.9,70.0,1374.0,3.43,19.2,6.08,0.3,3.6,0.6,93.0,0.04,3.3,0.06,3.0,38.0,-0.1,31.8,7.5,4199.999870000001,19100.0,28700.0,400.0,2600.0,650.0,2070.0,3800.0,290.0,MTrCc,MTrCc,True,53.82835,-123.7074,basaltic volcanic rocks
460.0,9.800000191,58.0,0.08,0.99,7.4,27.5,53.64,2.9,135.0,358.0,4.77,35.9,5.06,0.48,1.3,1.2,73.0,0.08,0.2,0.12,1.6,26.0,-0.1,158.7,14.5,11799.99948,9300.0,17000.0,500.0,3100.0,260.0,1210.0,8200.0,110.0,MTrCc,TrJTk,False,54.16436,-123.81951,"limestone, marble, calcareous sedimentary rocks"
240.0,6.0,189.0,0.1,0.51,10.2,46.5,34.37,5.1,70.0,345.0,1.38,43.2,7.75,0.44,6.0,1.1,49.0,0.06,2.6,0.16,0.8,60.0,-0.1,121.3,11.5,15900.000329999999,7900.0,23300.0,1100.0,5900.0,450.0,1100.0,2800.0000000000005,440.0,TrJTk,TrJTk,True,54.0302,-123.31666,volcaniclastic rocks
