,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
1036,ID093J073362,54.18438,-123.33525,TrJTk,72.1,80.11
101,ID093G071967,53.67628,-123.5156,PJog,6.4,48.39
557,ID093J071229,54.90013,-123.8748,TrJTk,40.7,37.74
809,ID093J071655,54.49211,-123.69254,TrJTk,137.0,133.61
1608,ID093J075074,54.88436,-123.15928,TrJTk,100.4,100.08
1173,ID093J073532,54.11926,-123.03846,TrJTk,120.7,96.02
882,ID093J071737,54.39785,-123.53933,TrJTk,84.0,88.48
139,ID093G073009,53.39663,-122.96109,MTrCc,38.6,79.25
640,ID093J071385,54.65662,-123.73628,TrJTk,124.4,132.29
1839,ID093O072339,55.07133,-123.79367,TrJTk,70.2,85.34
1596,ID093J075060,54.86042,-123.21935,TrJTk,40.5,45.21
1274,ID093J073645,54.36099,-122.76646,TrJTk,53.0,60.6
1709,ID093K071828,54.44412,-124.1897,MTrCc,61.5,64.71
1078,ID093J073416,54.00502,-123.11451,TrJTk,88.9,53.84
123,ID093G071991,53.57239,-123.38413,MTrCc,59.4,68.86
1571,ID093J073996,54.98426,-123.24709,TrJTk,113.7,90.73
1651,ID093J075122,54.80476,-123.01024,TrJTk,86.3,76.28
1948,ID093O075036,55.01274,-123.09476,CPSm,82.3,100.16
1958,ID093O075047,55.08226,-123.09563,CmOKe,66.6,73.68
1270,ID093J073640,54.345,-122.89718,KTpg,93.0,85.44
940,ID093J071802,54.47812,-123.39251,TrJTk,152.5,167.67
1194,ID093J073554,54.38741,-123.10465,TrJTk,116.1,121.18
1444,ID093J073834,54.26832,-122.61693,CPSm,84.5,98.54
1077,ID093J073415,54.0141,-123.11833,TrJTk,98.9,97.22
1669,ID093J075142,54.85065,-122.9708,TrJTk,35.1,76.24
789,ID093J071632,54.49985,-123.49676,TrJTk,117.4,122.2
1133,ID093J073483,54.06569,-123.08674,TrJTk,99.1,95.17
237,ID093G073118,53.72932,-122.28967,MJqm,101.2,91.09
1560,ID093J073984,54.94005,-123.25339,TrJTk,111.9,94.02
0,ID093G071002,53.61138,-122.9778,LTQCh,81.7,106.26
808,ID093J071654,54.49926,-123.66818,TrJTk,136.1,134.15
916,ID093J071775,54.80426,-123.16128,KTpg,95.4,101.94
664,ID093J071483,54.87325,-123.48674,KTpg,111.3,109.0
1891,ID093O072475,55.12522,-123.64264,TrJTk,48.0,65.64
780,ID093J071623,54.66068,-123.2671,KTpg,121.9,109.52
361,ID093G073275,53.82917,-123.56728,MTrCc,131.7,89.91
215,ID093G073093,53.35594,-122.46745,uTrJNc,102.7,117.26
83,ID093G071948,53.43267,-123.20172,MTrCc,35.2,53.66
1165,ID093J073523,54.19892,-123.05276,TrJTk,114.4,125.13
1889,ID093O072473,55.15172,-123.64625,TrJTk,74.1,86.62
577,ID093J071252,54.64227,-123.88711,TrJTk,66.8,85.56
1664,ID093J075136,54.80007,-122.93873,CPSm,86.7,104.49
1148,ID093J073504,54.05976,-123.02252,TrJTk,171.4,138.96
1776,ID093N071287,55.12247,-124.06833,TrJTk,66.4,80.3
310,ID093G073219,53.76666,-123.29686,MTrCc,56.2,72.16
943,ID093J071805,54.46479,-123.45349,TrJTk,71.7,82.83
1768,ID093N071211,55.08539,-124.26608,lJCl,65.2,60.4
97,ID093G071963,53.60823,-123.48849,PJml,40.9,72.46
1800,ID093N071413,55.18411,-124.04017,uKTS,19.8,43.57
1293,ID093J073666,54.51131,-123.37845,KTpg,114.5,127.21
1700,ID093J075176,54.64416,-122.99723,TrJTk,149.3,136.36
833,ID093J071683,54.27911,-123.47257,TrJTk,167.8,142.65
352,ID093G073266,53.76801,-123.81109,PJml,141.4,102.41
1094,ID093J073439,54.46105,-123.36702,TrJTk,87.7,92.02
594,ID093J071270,54.80427,-123.83626,TrJTk,92.6,115.38
782,ID093J071625,54.58646,-123.33993,KTpg,146.9,125.16
820,ID093J071669,54.2876,-123.65114,TrJTk,164.0,118.0
283,ID093G073182,53.80644,-122.01104,CPSm,53.5,58.65
1563,ID093J073987,54.96074,-123.23945,TrJTk,124.7,100.01
504,ID093J071093,54.70486,-123.69569,TrJTk,71.9,90.21
1692,ID093J075167,54.68964,-123.13151,KTpg,97.6,119.23
541,ID093J071134,54.80755,-123.95923,LTQCh,98.1,116.95
787,ID093J071630,54.492,-123.44683,TrJTk,110.8,110.44
1591,ID093J075054,54.88944,-123.19243,TrJTk,66.9,75.74
166,ID093G073039,53.22069,-122.57879,uTrJNc,92.9,99.57
737,ID093J071575,54.65763,-123.45113,KTpg,109.5,115.91
836,ID093J071686,54.24831,-123.44524,TrJTk,140.9,133.11
615,ID093J071353,54.57569,-123.76457,TrJTk,108.7,112.19
1634,ID093J075103,54.75628,-123.10933,KTpg,329.4,196.4
748,ID093J071588,54.57018,-123.52196,KTpg,113.1,113.23
1614,ID093J075080,54.93046,-123.16464,TrJTk,80.2,80.16
1466,ID093J073858,54.72528,-122.83066,CPSm,62.3,76.76
119,ID093G071987,53.5752,-123.5106,PJml,60.1,62.71
75,ID093G071938,53.49168,-123.59757,MTrCc,123.5,85.83
1050,ID093J073377,54.13698,-123.32288,TrJTk,124.7,124.07
641,ID093J071386,54.67219,-123.74437,TrJTk,59.3,82.5
1010,ID093J071884,54.0302,-123.31666,TrJTk,121.3,113.44
589,ID093J071265,54.76921,-123.87406,TrJTk,47.0,60.62
625,ID093J071368,54.55567,-123.81962,LTQCh,122.5,97.9
