,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
58,ID093G071919,53.50628,-123.14948,MTrCc,99.2,81.81
1905,ID093O072502,55.06122,-123.61285,TrJTk,108.5,89.06
1585,ID093J075048,54.94942,-123.18658,TrJTk,153.8,117.6
358,ID093G073272,53.80838,-123.77218,MTrCc,16.2,53.69
125,ID093G071993,53.38364,-123.25625,MTrCc,113.4,79.12
1199,ID093J073560,54.28682,-123.16722,TrJTk,99.3,119.05
1764,ID093N071206,55.0907,-124.31384,lJCl,42.7,56.61
1613,ID093J075079,54.92014,-123.1582,TrJTk,85.9,101.89
1628,ID093J075095,54.8611,-123.11021,TrJTk,80.8,89.41
798,ID093J071643,54.52749,-123.59619,TrJTk,124.7,109.95
1849,ID093O072427,55.21538,-123.90668,TrJTk,50.6,61.94
1911,ID093O073933,55.05732,-123.33568,ETgr,70.1,80.48
852,ID093J071704,54.36178,-123.98398,MTrCc,83.6,85.03
1424,ID093J073812,54.34025,-122.53459,KTpg,75.2,90.88
913,ID093J071772,54.83046,-123.19373,TrJTk,57.7,38.86
208,ID093G073086,53.28237,-122.36773,Kgr,90.7,99.04
113,ID093G071980,53.6236,-123.67493,PJml,45.7,54.94
968,ID093J071835,54.21021,-123.43445,TrJTk,123.4,120.82
1358,ID093J073738,54.29141,-122.74619,TrJTk,139.5,128.92
322,ID093G073233,53.70959,-123.63946,ETOo,60.5,65.44
388,ID093G073306,53.86639,-123.72726,MTrCc,90.2,41.0
1459,ID093J073851,54.66197,-122.65496,CmOKe,98.0,113.62
1915,ID093O073967,55.13563,-123.19651,TrJTk,107.7,117.5
1643,ID093J075113,54.92471,-123.04644,TrJTk,97.1,98.86
1780,ID093N071292,55.14142,-124.2803,lJCl,61.7,90.89
67,ID093G071929,53.47849,-123.4114,PJog,58.3,89.51
88,ID093G071953,53.65504,-123.13873,MTrCc,93.5,100.47
1092,ID093J073436,54.42706,-123.39683,TrJTk,96.4,97.92
1593,ID093J075056,54.87322,-123.20469,TrJTk,109.2,79.07
61,ID093G071923,53.46206,-123.27821,PJog,113.0,141.01
869,ID093J071723,54.35756,-123.5116,TrJTk,57.9,84.05
673,ID093J071504,54.76533,-123.58268,KTpg,113.0,85.43
205,ID093G073083,53.26812,-122.38048,uTrJNc,44.5,58.31
337,ID093G073249,53.70733,-123.09914,TrJTk,121.8,159.8
1404,ID093J073789,54.54009,-123.15962,TrJTk,147.6,111.95
1394,ID093J073778,54.55742,-123.24761,KTpg,110.5,147.28
1636,ID093J075105,54.78162,-123.08612,TrJTk,129.5,127.58
1344,ID093J073723,54.03038,-122.89457,TrJTk,123.6,113.88
1953,ID093O075042,55.05018,-123.15461,TrJTk,136.2,148.59
261,ID093G073145,53.59037,-122.12973,TrJTk,98.4,121.75
1685,ID093J075159,54.73787,-123.06646,KTpg,155.2,127.42
839,ID093J071690,54.31177,-123.3944,TrJTk,130.5,134.24
1539,ID093J073947,54.84202,-123.37657,Kpe,51.2,64.04
148,ID093G073019,53.4835,-122.84324,uTrJNc,118.7,114.12
121,ID093G071989,53.57414,-123.46963,PJml,80.4,83.88
448,ID093H073163,53.76439,-121.95813,CPSm,57.6,84.75
655,ID093J071402,54.88465,-123.73029,KTpg,52.2,70.77
500,ID093J071089,54.76184,-123.67471,KTpg,77.6,119.65
715,ID093J071550,54.53718,-123.67451,TrJTk,153.7,114.5
305,ID093G073214,53.67041,-123.12362,MTrCc,112.4,124.96
686,ID093J071518,54.66674,-123.54187,KTpg,93.0,106.85
1158,ID093J073515,54.13558,-123.03248,TrJTk,148.9,130.67
116,ID093G071984,53.59738,-123.62357,ETgd,100.4,86.29
1828,ID093O072327,55.07658,-123.86884,TrJTk,65.8,73.55
1757,ID093N071198,55.13211,-124.42688,TrJTk,68.4,92.72
1368,ID093J073749,54.31793,-122.64645,CPSm,131.5,125.82
1290,ID093J073663,54.52681,-123.44418,KTmc,176.5,144.46
194,ID093G073070,53.27995,-122.27766,Kgr,59.5,68.34
324,ID093G073235,53.71139,-123.57538,PJog,65.6,72.04
1000,ID093J071871,54.10981,-123.39217,TrJTk,85.8,85.58
1312,ID093J073688,54.38351,-122.93045,Kpe,117.1,120.98
80,ID093G071945,53.48579,-123.45821,PJog,49.0,56.0
145,ID093G073016,53.46877,-122.91764,uTrJNc,127.1,133.95
1076,ID093J073414,54.00856,-123.1357,TrJTk,203.1,118.79
1216,ID093J073579,54.36031,-123.21606,TrJTk,121.0,117.74
583,ID093J071258,54.69444,-123.85588,LTQCh,130.4,119.7
162,ID093G073035,53.25945,-122.68003,uTrJNc,111.9,89.24
1734,ID093N071173,55.00337,-124.62614,TrJTk,104.2,114.84
1406,ID093J073791,54.53196,-123.10235,TrJTk,124.8,143.73
386,ID093G073304,53.82902,-123.81123,MTrCc,24.4,45.89
63,ID093G071925,53.47574,-123.31764,PJog,255.4,172.97
1089,ID093J073433,54.36555,-123.3328,TrJTk,66.5,76.66
815,ID093J071663,54.31367,-123.84696,MTrCc,127.8,115.04
169,ID093G073043,53.2602,-122.57494,uTrJNc,101.5,111.76
629,ID093J071372,54.63289,-123.76985,TrJTk,110.6,106.73
1561,ID093J073985,54.95216,-123.25008,TrJTk,90.0,123.85
1144,ID093J073494,54.01687,-123.03805,TrJTk,141.9,131.58
582,ID093J071257,54.65873,-123.85341,EKgd,142.0,135.92
327,ID093G073238,53.7354,-123.58653,MTrCc,52.4,57.97
277,ID093G073174,53.77772,-122.36666,TrJTk,70.4,82.41
974,ID093J071842,54.24408,-123.35332,TrJTk,112.2,127.2
1631,ID093J075099,54.7914,-123.10403,TrJTk,90.7,107.55
110,ID093G071977,53.6632,-123.79014,PJml,107.9,107.76
129,ID093G071997,53.38979,-123.32965,MTrCc,45.8,83.93
1590,ID093J075053,54.89764,-123.19402,TrJTk,51.4,65.42
1021,ID093J073337,54.00077,-123.82195,MTrCc,44.2,53.97
1781,ID093N071293,55.18345,-124.24737,?ETOo,61.2,105.1
983,ID093J071852,54.15378,-123.38359,TrJTk,182.5,180.05
595,ID093J071271,54.79024,-123.81568,TrJTk,117.9,135.24
935,ID093J071795,54.60722,-123.19804,KTpg,224.8,124.0
