,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
1227,ID093J073592,54.47206,-123.19935,TrJTk,74.62,73.24
306,ID093G073215,53.66977,-123.1988,MTrCc,34.6,34.42
868,ID093J071722,54.35692,-123.54886,TrJTk,43.6,46.37
1136,ID093J073486,54.04745,-123.08877,TrJTk,18.44,18.96
1453,ID093J073844,54.58379,-122.60779,SDs,27.78,33.68
830,ID093J071679,54.27978,-123.51443,TrJTk,48.79,45.46
626,ID093J071369,54.60055,-123.7878,TrJTk,68.8,72.3
1548,ID093J073957,54.89804,-123.27115,TrJTk,26.74,39.92
1022,ID093J073338,54.02502,-123.75023,LTQCh,26.9,38.78
1655,ID093J075127,54.77727,-123.05682,TrJTk,24.36,50.8
953,ID093J071816,54.47779,-123.73938,LTQCh,38.3,37.3
800,ID093J071645,54.49133,-123.55875,TrJTk,50.4,51.08
1041,ID093J073368,54.23702,-123.29946,TrJTk,34.78,39.41
1400,ID093J073785,54.53527,-123.19187,TrJTk,32.68,44.65
148,ID093G073019,53.4835,-122.84324,uTrJNc,62.06,49.82
925,ID093J071785,54.49691,-123.32434,TrJTk,49.32,56.89
1821,ID093O072316,55.07177,-123.9181,TrJTk,31.53,74.59
1788,ID093N071300,55.18538,-124.37761,lJCl,32.59,27.45
545,ID093J071138,54.88735,-123.96992,TrJTk,41.03,34.86
307,ID093G073216,53.705,-123.24011,MTrCc,48.23,44.78
988,ID093J071857,54.16554,-123.44954,TrJTk,59.24,49.79
1558,ID093J073982,54.95627,-123.26125,TrJTk,53.38,52.99
1740,ID093N071179,55.01345,-124.80545,TrJTk,39.52,50.77
404,ID093G073324,53.85156,-123.81684,MTrCc,4.63,5.83
221,ID093G073100,53.52,-122.50862,Kgr,28.28,35.38
880,ID093J071735,54.37974,-123.50527,TrJTk,53.72,55.5
1477,ID093J073870,54.63957,-122.75391,KTpg,64.02,52.96
1251,ID093J073617,54.15231,-122.97049,TrJTk,77.14,77.64
325,ID093G073236,53.72249,-123.5802,MTrCc,28.65,37.62
914,ID093J071773,54.83413,-123.18109,TrJTk,55.12,57.32
489,ID093J071076,54.31528,-123.94884,MTrCc,30.36,31.19
890,ID093J071746,54.41875,-123.74635,TrJTk,40.42,40.61
1239,ID093J073605,54.40347,-123.25118,TrJTk,60.46,62.87
599,ID093J071276,54.87297,-123.77669,KTpg,50.6,52.86
538,ID093J071131,54.70192,-123.9676,LTQCh,10.94,15.99
1285,ID093J073657,54.51538,-123.27304,TrJTk,37.29,38.44
751,ID093J071591,54.55858,-123.4633,KTpg,48.52,50.1
1402,ID093J073787,54.52351,-123.18446,TrJTk,20.98,26.26
94,ID093G071959,53.59837,-123.36607,MTrCc,28.32,43.89
1820,ID093O072315,55.08429,-123.91236,TrJTk,72.41,26.43
114,ID093G071982,53.61272,-123.65713,ETgd,29.58,32.18
14,ID093G071017,53.53326,-122.93111,TrJTk,48.01,48.63
862,ID093J071715,54.37557,-123.67849,TrJTk,70.23,64.82
911,ID093J071770,54.83521,-123.23567,TrJTk,36.61,38.21
1871,ID093O072451,55.01526,-123.69042,KTpg,36.25,44.08
893,ID093J071749,54.40951,-123.87665,TrJTk,42.84,43.61
1372,ID093J073753,54.39248,-122.6546,CPSm,29.35,36.16
1832,ID093O072331,55.10122,-123.87074,TrJTk,40.05,30.67
1590,ID093J075053,54.89764,-123.19402,TrJTk,54.09,56.91
57,ID093G071918,53.50915,-123.47601,PJog,56.27,54.78
754,ID093J071594,54.57982,-123.47213,KTpg,87.61,90.97
1289,ID093J073662,54.53598,-123.44631,KTmc,47.31,47.75
1684,ID093J075158,54.73037,-123.03522,KTpg,60.96,59.13
710,ID093J071545,54.55468,-123.77324,TrJTk,61.92,63.65
1325,ID093J073702,54.33466,-122.69538,LTQCh,62.38,61.01
139,ID093G073009,53.39663,-122.96109,MTrCc,33.47,48.17
1301,ID093J073675,54.44807,-123.12652,TrJTk,64.45,74.38
1483,ID093J073876,54.52887,-122.72081,CPSm,23.71,33.26
1552,ID093J073962,54.96761,-123.29158,TrJTk,35.34,57.49
1256,ID093J073624,54.16257,-122.89236,TrJTk,48.61,51.12
633,ID093J071377,54.64684,-123.82805,EKgd,21.92,38.51
1894,ID093O072478,55.08339,-123.54683,TrJTk,75.03,71.58
975,ID093J071843,54.21869,-123.36252,TrJTk,59.56,51.81
73,ID093G071936,53.51696,-123.58454,ETOo,52.73,44.59
899,ID093J071755,54.57282,-123.31533,KTpg,58.1,52.97
1714,ID093N071151,55.01256,-124.15822,TrJTk,96.12,69.76
1814,ID093O072283,55.07817,-123.9425,TrJTk,35.93,21.23
1807,ID093O072219,55.04498,-123.93125,TrJTk,72.57,43.43
643,ID093J071388,54.687,-123.73277,TrJTk,20.63,47.98
346,ID093G073259,53.79006,-123.55135,MTrCc,7.99,10.43
1027,ID093J073352,54.05253,-123.3368,TrJTk,17.82,19.12
636,ID093J071380,54.68592,-123.80105,TrJTk,51.69,58.78
861,ID093J071714,54.38554,-123.67257,TrJTk,45.63,48.64
1413,ID093J073799,54.47456,-122.90685,Kpe,29.09,38.45
964,ID093J071831,54.22914,-123.53017,TrJTk,29.14,37.64
814,ID093J071660,54.51321,-123.75663,TrJTk,28.75,30.67
870,ID093J071724,54.36051,-123.47466,TrJTk,22.74,30.78
336,ID093G073248,53.72625,-123.18001,MTrCc,59.17,49.56
1688,ID093J075163,54.69889,-123.0483,KTpg,61.14,60.05
1126,ID093J073475,54.07379,-123.13268,TrJTk,46.78,42.24
374,ID093G073290,53.83453,-123.36942,MTrCc,30.43,31.32
23,ID093G071027,53.58074,-122.85903,TrJTk,26.89,27.88
1921,ID093O073974,55.04524,-123.24671,TrJTk,37.06,39.88
1485,ID093J073879,54.52069,-122.7648,CPSm,31.13,38.59
444,ID093H073158,53.67795,-121.98235,CPSm,36.25,43.6
1151,ID093J073508,54.0815,-122.99977,TrJTk,28.61,27.74
66,ID093G071928,53.46448,-123.38626,PJog,15.88,8.9
135,ID093G073005,53.34289,-123.23466,MTrCc,19.53,27.17
681,ID093J071513,54.70869,-123.59087,KTpg,58.12,59.71
430,ID093G073417,53.99756,-123.11633,TrJTk,14.32,15.18
879,ID093J071734,54.39226,-123.48733,TrJTk,77.42,69.79
24,ID093G071028,53.57009,-122.89907,TrJTk,55.94,48.62
1872,ID093O072452,55.04404,-123.72644,TrJTk,74.79,66.84
413,ID093G073333,53.95465,-123.75844,MTrCc,42.85,45.14
574,ID093J071249,54.63245,-123.83469,TrJTk,27.0,30.71
1611,ID093J075077,54.90127,-123.15261,TrJTk,40.81,33.16
